,OTS:KNEE:theta,OTS:HIP:pos-X,OTS:HIP:pos-Y,OTS:HIP:pos-Z,OTS:KNEE:pos-X,OTS:KNEE:pos-Y,OTS:KNEE:pos-Z,OTS:ANKLE:pos-X,OTS:ANKLE:pos-Y,OTS:ANKLE:pos-Z,vibe:KNEE:theta,vibe:HIP:pos-X,vibe:HIP:pos-Y,vibe:HIP:pos-Z,vibe:KNEE:pos-X,vibe:KNEE:pos-Y,vibe:KNEE:pos-Z,vibe:ANKLE:pos-X,vibe:ANKLE:pos-Y,vibe:ANKLE:pos-Z
1436,99.89132710000816,-146.10943599999996,7.854309499999999,-4.972534500000165,-132.64382950000004,-154.6942595,321.3905030000001,-129.58166499999993,-531.3399965,349.9692385000003,95.95066832342816,-145.50855058723732,7.153005738791734,15.210122957064332,-160.0997253933785,-137.9799980503899,60.658231731104536,-139.49989556632477,-532.3654542290913,311.1650400107652
1437,99.9002080690508,-146.109741,7.846252499999991,-4.97741700000006,-132.63308699999993,-154.6721495,321.3697505,-129.58160399999974,-531.3167415,349.96398899999986,97.19445409581924,-144.66260337895056,6.1612727914857714,14.098105913548066,-149.43070408023306,-140.68965770587448,58.46029086700872,-126.40384727769967,-529.7572033815327,317.1334514472376
1438,99.90855317411562,-146.10858199999996,7.867035000000101,-4.976806499999839,-132.62564050000003,-154.68202249999996,321.34777799999983,-129.569519,-531.3257675,349.96594250000044,98.66216911271638,-143.06674703465094,5.186136582250981,12.556485152557823,-137.10181034793865,-147.20315347714205,55.40979899449161,-108.01152290101734,-530.8195282946858,320.44253310483793
1439,99.90192895844076,-146.1087645,7.843291999999906,-5.010864500000025,-132.65039049999996,-154.6861725,321.3043210000001,-129.56784049999987,-531.3259205,349.98400900000024,99.77247572042442,-142.90200995010747,5.024750404354791,13.290349252122983,-144.91205810056738,-153.28804312575457,56.09583697624396,-110.51138834770236,-541.3763850520154,321.9348886905042
1440,99.89845605019144,-146.10986350000007,7.809020999999916,-5.031615999999758,-132.6402895000001,-154.68791250000004,321.2879640000001,-129.5398560000001,-531.32856,349.9426270000004,100.20796739143343,-144.243596237465,5.481404130705215,15.263284668509865,-162.60107980719215,-156.1795620919251,59.812625767171994,-127.8753674680469,-552.8752854360486,321.6537306996448
1441,100.0000836670191,-146.1101685000001,7.801879500000041,-5.032227000000148,-132.66394100000002,-154.70094299999994,321.3059085,-129.50766,-531.341774,349.9494629999999,100.08833356561442,-145.321179640288,5.886140668033704,15.848651034025922,-168.33027872223911,-155.34786087244208,61.87909734441354,-136.5690238297986,-554.60435644569,321.11128952894614
1442,99.89327015361464,-146.11004649999995,7.8008729999999105,-5.0393065000002935,-132.56573500000013,-154.48468000000005,321.01001,-129.43496649999997,-531.0812225000001,350.3670654999996,99.78582872747945,-145.26400963089034,5.837922993923314,15.223727079000097,-163.28630759279486,-151.27267898973082,60.30712923274132,-132.822385681335,-548.7999401141021,324.2413444001588
1443,99.89576875629464,-146.10992450000003,7.808563499999991,-5.0301509999999325,-132.68057250000015,-154.70263649999998,321.3344729999999,-129.5142515,-531.3446730000001,349.9533695,99.53982660186752,-144.6766924997272,5.498846891097884,15.528775697394645,-162.0813036751611,-146.003479521822,57.25706559511116,-129.65879524278418,-544.4461712840647,331.1729875339712
1444,99.88919841035194,-146.10992399999986,7.788391000000047,-5.060669000000416,-132.65847799999983,-154.7442929999999,321.3303219999998,-129.5010984999999,-531.3867794999999,349.9478759999997,99.49166651743309,-144.00232347049948,5.273573464617726,16.815013565669343,-164.111019164911,-143.22217211335555,54.88653175582755,-128.71850495790267,-543.3292571138634,336.39426146142625
1445,99.8821820628716,-146.11273200000005,7.750732500000026,-5.038451999999779,-132.6748050000001,-154.739243,321.32910200000015,-129.5212100000001,-531.3829880000001,349.92053250000026,99.77047816708765,-143.04313612372883,5.233871483696447,17.032376894552065,-158.29695508051492,-144.31872630880753,53.16243649729262,-120.37293760735997,-540.7849084309926,336.8612098082268
1446,99.99206757573046,-146.1142575,7.747314500000016,-4.999389499999779,-132.69238299999995,-154.72639500000002,321.3392330000001,-129.546295,-531.3725890000001,349.8901365000001,100.13758352595082,-141.91771226392038,5.048226909125191,15.709214654168907,-146.23491535152723,-145.60307095839414,51.383284313338606,-105.70683370449362,-535.1966774183568,336.38845798433385
1447,99.893113793136,-146.11300649999998,7.762023999999997,-5.013793999999962,-132.59875499999998,-154.50514249999992,320.9973145000004,-129.43927050000002,-531.1050799999999,350.29638699999987,100.00995870202479,-141.26189266932056,4.617040582663947,14.741761384057352,-140.27585156111607,-143.07465658090257,49.713007438062675,-97.78052515641451,-529.9146542217877,338.46751457602636
1448,99.88925335819312,-146.11270150000007,7.761840499999948,-5.021728499999881,-132.68692,-154.70529200000004,321.28198250000014,-129.52905249999992,-531.3476945,349.8958740000003,99.32632224928633,-141.62880584416644,4.446327486816273,15.264794877272575,-145.3736799711578,-138.68636133030708,49.611778343936805,-104.45583442841453,-528.958735026838,340.352285982838
1449,99.99223404113894,-146.11367799999994,7.748047000000042,-5.0147704999999405,-132.73074299999985,-154.7001339999999,321.27050750000035,-129.54968250000002,-531.3430404999999,349.87036149999994,98.80731117675681,-143.2634221564722,4.995019075584366,16.14588214745132,-157.29634079869112,-137.37751063436986,53.06239531155052,-123.28223009968352,-534.1243532424438,338.3581034064241
