,gast:KNEE:theta,gast:HIP:pos-X,gast:HIP:pos-Y,gast:HIP:pos-Z,gast:KNEE:pos-X,gast:KNEE:pos-Y,gast:KNEE:pos-Z,gast:ANKLE:pos-X,gast:ANKLE:pos-Y,gast:ANKLE:pos-Z
30,96.10400095297882,83.24206,104.95801,849.9558,-232.16629,310.33264,830.79407,-249.48186,324.31604,433.48962
31,96.72052797841003,81.58888,106.05416,850.0601,-233.133,308.3937,829.1825,-241.69028,339.59738,439.7372
32,96.8071074563291,80.0128,106.48751,850.7757,-236.66591,303.85248,828.9209,-245.85706,333.32874,442.54953
33,96.73382635672404,77.968575,107.74461,851.2408,-237.50192,306.36243,830.33905,-246.94228,335.72574,447.63263
34,98.47783319901676,77.70118,107.71031,851.85236,-239.67027,301.4846,829.79584,-245.49687,357.01477,452.94357
35,99.65294675514994,79.3064,107.04664,852.02,-233.68883,309.74298,829.375,-243.29298,371.564,448.92847
36,97.48992829784446,79.601425,106.904045,852.85516,-232.72812,316.29037,832.6061,-251.04297,343.20224,441.13364
37,97.21562790077674,79.67328,106.27711,853.24756,-228.59007,325.7376,833.8667,-245.96318,352.06516,441.34686
38,96.85523296922102,82.85885,104.26176,852.7365,-221.76659,331.56128,831.2379,-239.09366,349.80075,439.12732
39,95.865169728271,84.236145,103.60722,852.6505,-218.4082,337.2223,826.4401,-243.85994,326.34015,430.8608
40,95.61006216277102,85.712776,102.797386,852.73785,-216.06934,340.10446,828.49286,-240.1216,331.67093,437.3221
41,95.12070642949628,86.74404,101.848114,853.13824,-216.47096,336.5213,828.4568,-247.55127,312.78726,434.34528
42,94.7380041001113,86.73445,101.61927,853.51105,-217.57695,333.5644,829.5571,-249.29965,305.45474,432.52454
43,95.67994865835858,85.6872,101.948975,853.6626,-221.36354,329.8149,828.48944,-250.51158,312.7858,435.23984
44,96.02557672092874,85.26387,101.99566,854.5693,-224.00105,323.9112,829.08026,-256.29605,305.21362,432.85132
45,94.65506511301983,84.97792,102.16399,854.72003,-223.13005,329.60385,833.5249,-257.0834,301.32504,435.48697
46,93.37317520959184,83.831245,102.117615,855.3177,-223.76204,332.0055,838.3489,-260.24927,293.47955,433.1812
47,93.97197106393769,82.37289,103.062065,855.87573,-228.8122,322.8777,839.43634,-261.96713,294.60675,434.3398
48,93.30816546907165,83.654625,101.86875,857.25916,-227.90355,326.44385,837.93085,-260.0135,287.36923,432.99084
49,92.06352741737692,84.7735,101.79843,857.4329,-225.72302,332.35327,838.5621,-257.3604,281.35257,433.44122
50,92.04816632193355,84.63001,101.80326,858.46826,-232.17154,327.97607,836.3012,-262.3056,271.3721,432.27728
51,91.76652347150808,83.57616,102.68066,858.8362,-235.09216,325.74768,834.31635,-267.65186,256.9834,430.5814
52,91.69287354168783,82.578255,103.29525,859.06006,-234.805,326.30127,831.9795,-264.33456,256.5988,430.96323
53,90.89184261620707,81.87585,104.0075,859.3415,-238.31802,328.64316,829.43115,-267.4129,245.22847,431.14624
54,90.42544997892193,81.68754,104.836365,860.1459,-239.28404,332.32257,828.09,-264.11996,247.05031,434.7615
55,88.99265387597167,81.66862,104.85751,860.8911,-237.42976,341.8488,820.37085,-259.88727,232.06424,426.16797
56,89.50241138429723,82.867035,103.410286,861.59705,-227.37762,348.58887,813.21094,-258.056,226.88329,422.5572
57,89.92216748992954,84.11619,101.559074,861.52606,-225.45332,345.67078,800.0827,-255.13809,209.72221,413.15298
58,90.85707695333171,87.21649,99.61501,862.02216,-219.0184,351.7406,795.5895,-251.26808,217.61015,397.00177
59,92.47279235244407,86.9319,99.87903,861.1164,-225.83318,340.96478,787.7581,-250.85365,217.04767,388.18927
60,92.3946413279608,87.09471,99.00074,861.2547,-224.15417,344.46085,776.1921,-242.52028,210.39372,371.5613
61,91.97678401491775,86.89993,98.63373,859.87726,-231.35239,337.29102,769.1047,-231.08267,208.22093,362.6942
62,93.30265350641146,86.3034,98.31304,859.50385,-218.23817,339.15353,759.97833,-223.02109,206.90762,355.95483
63,95.44858283041357,84.78581,99.91364,859.46875,-226.68379,327.05618,754.1319,-228.16924,207.5599,348.5272
64,95.37129240976572,85.0394,99.83922,862.09955,-220.71785,336.64267,757.1127,-221.48326,219.38103,340.0582
65,93.58688499853237,86.29956,98.32811,862.17725,-218.77379,339.75012,765.9547,-210.57632,225.8711,339.1093
66,93.38197249324281,84.83312,97.996315,861.4219,-220.81268,337.81265,762.6377,-200.71393,229.76291,331.6704
67,94.58638073072619,83.05656,99.705414,861.215,-224.83926,330.86722,752.79395,-197.51427,227.01761,323.13406
68,94.92306807567279,82.16944,100.38415,860.30774,-230.39659,322.55063,743.45245,-188.47803,224.88835,315.96356
69,95.72239145386105,81.01438,100.236565,859.8673,-230.63188,323.71518,736.07544,-185.19504,226.36902,300.2607
70,97.35486130700745,81.52101,100.495056,858.76984,-228.58426,318.02643,725.2935,-181.68768,223.78513,290.39545
71,99.17238830552618,82.44918,99.56171,858.15875,-225.4805,320.30014,705.9524,-175.94281,223.1511,274.57333
72,102.27011815074792,84.65768,97.473305,857.6466,-217.40425,318.23413,685.8436,-171.17838,221.96373,254.6258
73,104.66123760557515,86.51794,97.06581,858.8428,-210.69289,319.24768,672.70605,-168.01549,224.2158,239.74187
74,107.9068068953818,88.65062,94.939125,859.8404,-203.0664,314.4819,657.113,-162.22989,227.25137,221.01903
75,110.66281554623863,87.830574,95.921814,861.60333,-192.87276,314.03485,646.3604,-155.5644,230.7021,208.61966
76,113.18536150107526,86.7905,96.89681,861.00714,-181.44438,311.4066,634.85516,-146.5228,229.9523,194.835
77,116.68512994122227,84.70615,97.41768,860.4491,-168.71777,309.876,624.58673,-144.96404,233.1489,182.26117
78,118.35471504231853,84.01958,98.16115,860.3705,-160.19446,314.0298,619.97687,-142.18675,240.95207,174.81088
79,121.49589855103989,82.13444,100.35579,860.6699,-153.66313,311.15475,611.20306,-139.19737,248.28398,159.35791
80,124.67377042088796,80.01238,102.04345,860.3873,-150.37975,299.86404,601.8897,-136.39207,247.09457,146.49916
